Date,Brand,P.Name,Market,Country,State,locality, MRP,D-p,S.p
"January 1, 2018",Best Choice, Grape Fruit Roll,Gourmet Supermarket,USA,CA,Beverly Hills,11,5,6
"January 1, 2018",Fort West, Fudge Cookies,Gourmet Supermarket,USA,CA,Beverly Hills,7,3,4
"January 1, 2018",Tell Tale, Canned Peanuts,Gourmet Supermarket,USA,CA,Beverly Hills,14,7,7
"January 1, 2018",Tell Tale, Prepared Salad,Gourmet Supermarket,USA,CA,Beverly Hills,19,9,10
"January 1, 2018",High Top, Dried Mushrooms,Gourmet Supermarket,USA,CA,Beverly Hills,15,6,9
"January 1, 2018",Best Choice, Golden Raisins,Gourmet Supermarket,USA,CA,Beverly Hills,13,4,9
"January 1, 2018",Fast, Potato Chips,Gourmet Supermarket,USA,CA,Beverly Hills,7,3,5
"January 1, 2018",Best Choice, Fudge Brownies,Gourmet Supermarket,USA,CA,Beverly Hills,3,2,2
"January 1, 2018",Tell Tale, Golden Delcious Apples,Gourmet Supermarket,USA,CA,Beverly Hills,6,2,4
"January 1, 2018",Best Choice, Fondue Mix,Gourmet Supermarket,USA,CA,Beverly Hills,5,2,3
"January 1, 2018",Tell Tale, Red Pepper,Gourmet Supermarket,USA,CA,Beverly Hills,7,2,5
"January 1, 2018",Fast, Avocado Dip,Gourmet Supermarket,USA,CA,Beverly Hills,6,2,4
"January 1, 2018",High Quality, Frying Pan,Gourmet Supermarket,USA,CA,Beverly Hills,11,5,7
"January 1, 2018",Tell Tale, Fancy Plums,Gourmet Supermarket,USA,CA,Beverly Hills,3,1,2
"January 1, 2018",Tell Tale, Red Pepper,Gourmet Supermarket,USA,CA,Beverly Hills,8,3,4
"January 1, 2018",High Quality, 60 Watt Lightbulb,Gourmet Supermarket,USA,CA,Beverly Hills,7,3,4
"January 1, 2018",Fort West, Salted Pretzels,Gourmet Supermarket,USA,CA,Beverly Hills,4,2,2
"January 1, 2018",Fast, Cantelope,Gourmet Supermarket,USA,CA,Beverly Hills,7,3,4
"January 1, 2018",Horatio, Sesame Crackers,Gourmet Supermarket,USA,CA,Beverly Hills,8,3,5
